epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.334,3.23167,4.04053,2.72055,0.00157,0.1,0.0014,0.00043,2.08404,4.15393,2.53301,6e-05,6e-05,6e-05
2,140.907,1.92084,3.63799,1.8843,0.0129,0.53333,0.26373,0.20089,1.51249,3.64252,1.83045,0.000127426,0.000127426,0.000127426
3,214.005,1.365,3.02171,1.48538,0.01948,0.81667,0.47175,0.3734,1.10783,3.3097,1.4148,0.00019208,0.00019208,0.00019208
4,289.68,1.19835,2.37445,1.3437,0.94784,0.16667,0.67884,0.50598,0.83484,3.02151,1.1287,0.000253962,0.000253962,0.000253962
5,369.96,1.13632,2.00782,1.30677,1,0.1375,0.57692,0.4443,0.96372,2.98573,1.17429,0.000313072,0.000313072,0.000313072
6,438.826,1.02147,1.53029,1.23404,0.97631,0.4534,0.68681,0.52242,0.78869,2.45311,1.07288,0.00036941,0.00036941,0.00036941
7,516.75,0.92757,1.23878,1.17338,0.97816,0.43651,0.98722,0.76591,0.88443,2.14336,1.0976,0.000422976,0.000422976,0.000422976
8,593.229,0.85035,1.09719,1.12225,0.94435,0.5,0.89089,0.73174,0.69291,2.11089,0.97893,0.00047377,0.00047377,0.00047377
9,665.987,0.83573,1.01092,1.12755,0.92288,0.66204,0.995,0.80007,0.77388,1.7362,1.09744,0.000521792,0.000521792,0.000521792
10,739.107,0.74887,0.94106,1.08723,0.93242,0.66607,0.995,0.82986,0.73398,1.70487,1.01321,0.000567042,0.000567042,0.000567042
11,817.932,0.79767,0.89717,1.11169,0.94803,0.74491,0.995,0.83508,0.68546,1.42305,1.08945,0.00060952,0.00060952,0.00060952
12,902.896,0.71721,0.82265,1.01664,0.89032,0.83216,0.995,0.84692,0.70996,1.29966,1.09832,0.000649226,0.000649226,0.000649226
13,974.532,0.73504,0.79893,1.02871,0.94049,0.94415,0.995,0.85646,0.6249,1.10386,1.03066,0.00068616,0.00068616,0.00068616
14,1044.18,0.65794,0.76218,1.00699,0.94517,0.99393,0.995,0.88755,0.55651,1.12277,0.98256,0.000720322,0.000720322,0.000720322
15,1119.41,0.67251,0.76585,1.00221,0.93694,0.97993,0.995,0.89637,0.55171,1.0668,0.95617,0.0007228,0.0007228,0.0007228
16,1190.93,0.62961,0.75241,1.00781,0.95914,0.9949,0.995,0.90744,0.48809,0.81005,0.94231,0.000703,0.000703,0.000703
17,1260.62,0.63671,0.72761,1.00511,0.96686,0.99582,0.995,0.90016,0.52487,0.84617,0.96622,0.0006832,0.0006832,0.0006832
18,1340.27,0.61874,0.69285,0.97824,0.95736,0.99906,0.995,0.90441,0.43738,0.83931,0.93955,0.0006634,0.0006634,0.0006634
19,1416.92,0.61684,0.66541,0.97371,0.95494,0.99555,0.995,0.88472,0.52332,0.72648,0.95409,0.0006436,0.0006436,0.0006436
20,1492.45,0.61286,0.6719,0.97605,0.97645,0.99712,0.995,0.90759,0.52511,0.67033,0.96452,0.0006238,0.0006238,0.0006238
21,1572.72,0.57225,0.64985,0.96097,0.98181,1,0.995,0.91217,0.50287,0.63863,0.93713,0.000604,0.000604,0.000604
22,1651.52,0.56353,0.60993,0.95548,0.98881,1,0.995,0.93635,0.39431,0.58038,0.91779,0.0005842,0.0005842,0.0005842
23,1725.01,0.58095,0.61326,0.94919,0.9849,1,0.995,0.91181,0.48193,0.59677,0.94318,0.0005644,0.0005644,0.0005644
24,1799.15,0.59049,0.63474,0.94032,0.99241,1,0.995,0.93038,0.415,0.57597,0.91679,0.0005446,0.0005446,0.0005446
25,1871.77,0.54634,0.60653,0.93596,0.99301,1,0.995,0.91348,0.43244,0.54951,0.91484,0.0005248,0.0005248,0.0005248
26,1948.63,0.53912,0.59654,0.93856,0.99184,0.9991,0.995,0.93508,0.3966,0.5509,0.91239,0.000505,0.000505,0.000505
27,2021.48,0.54769,0.59811,0.94959,0.98597,0.99631,0.995,0.93046,0.3972,0.51826,0.91267,0.0004852,0.0004852,0.0004852
28,2101.78,0.52841,0.59419,0.94286,0.98754,0.99617,0.995,0.93722,0.37852,0.53643,0.90476,0.0004654,0.0004654,0.0004654
29,2176.2,0.59791,0.61165,0.9475,0.99239,1,0.995,0.93937,0.3816,0.52132,0.90682,0.0004456,0.0004456,0.0004456
30,2244.13,0.49696,0.55798,0.91425,0.98705,1,0.995,0.9251,0.42666,0.53314,0.90864,0.0004258,0.0004258,0.0004258
31,2318.26,0.48518,0.55054,0.91327,0.9861,1,0.995,0.93593,0.38713,0.53998,0.91135,0.000406,0.000406,0.000406
32,2390.12,0.49603,0.55264,0.92116,0.98611,1,0.995,0.92537,0.39754,0.5042,0.90187,0.0003862,0.0003862,0.0003862
33,2459.58,0.50872,0.55537,0.93601,0.98905,1,0.995,0.95151,0.34739,0.50392,0.89038,0.0003664,0.0003664,0.0003664
34,2528.09,0.50834,0.55366,0.92395,0.99149,0.9909,0.995,0.94714,0.36044,0.51113,0.91704,0.0003466,0.0003466,0.0003466
